"Question","Answer"
"What is content acquisition?","Content acquisition refers to the process of sourcing or purchasing rights to use digital content such as videos, articles, images, or other media from creators, production houses, or distributors."
"What do you mean by content selling?","Content selling involves offering your original or licensed content to others like brands, platforms, or individuals for use, distribution, or monetization."
"Who can sell content on your platform?","Anyone who owns the rights to original content can sell on our platform, this includes individual creators, studios, freelancers, and agencies."
"Do I need a company to sell my videos?","Even individuals can sell content here, you just need to prove the content belongs to you."
"What if someone copies my content and tries to sell it?","We take copyright infringement seriously. Our team reviews content, and we have a takedown process for flagged materials."
"How do I submit my content for acquisition?","You can submit your content through our acquisition form or contact our content team directly with your portfolio or sample."
"What rights do I need to sell content?","You must have full ownership or proper distribution rights. If the content involves third parties, you need model releases, music licenses, etc."
"How do content creators get paid?","Creators are paid via revenue share, licensing fees, or flat-rate agreements depending on the deal. All terms are transparent before signing."
"When do I get paid after a sale?","Typically within 15–30 days, depending on the buyer's payment terms and your agreement."
"How do you protect the rights of content creators?","We use contracts, watermarking and proactive content monitoring to prevent misuse."
"What if I want to remove my content after selling it once?","That depends on the type of license sold. Some licenses are perpetual, while others are time-bound or non-exclusive."
"Can I buy bulk content for my OTT platform or campaign?","Yes, we offer bulk content packages and licensing options for OTTs, agencies, and publishers."
"Do you promote the content I sell on your platform?","We feature top-performing and trending content, and offer promotional packages to increase visibility."
"Why should I sell my content here instead of on YouTube or another platform?","Unlike public platforms, we offer direct monetization through licensing deals, content curation for B2B, and protection of your rights."
"What if my content doesn’t sell?","We keep your content live, suggest optimization tips, and sometimes feature it for better exposure."
"Do I keep ownership of my content after selling it?","In most cases, yes—unless you transfer full rights. Our agreements specify exactly what rights are sold or retained."
"How do I price my content?","You can set your own price, or choose to let our platform suggest a market-competitive rate based on content type and demand."
"What type of content does your company accept?","We accept videos, articles, images, animations, audio clips, and other digital media that meet our quality and originality standards."
"Do you accept previously published content?","Yes, as long as you retain the rights and there’s no conflict with any existing licensing agreements."
"Do I need to pitch before selling content?","Pitching is optional. You can upload directly or pitch if you’re seeking special deals or bulk sales."
"How much do you pay for content?","Pricing varies by content type, usage, and buyer budget. Some deals are flat rate while others involve royalties or licensing fees."
"What rights do I retain after selling my content to you?","This depends on the license type. With non-exclusive deals, you retain full rights. Exclusive licenses transfer certain rights to the buyer."
"How and in what ways will I be credited for my work?","Credits are displayed with your content unless the buyer requests anonymity. Metadata and platform listings include creator info."
"Can I submit content in regional languages or based on niche topics?","Absolutely! We encourage diverse, regional, and niche content to serve a wide audience."
"What all does your company require while getting the work submitted?","We require a title, description, file upload, and relevant rights documents like licenses or model releases."
"What are the results if my content is rejected?","You’ll be notified with feedback. You may revise and resubmit, depending on the reason for rejection."
"Do you offer long term or freelance contracts?","Yes, we offer both long-term content partnerships and one-time freelance opportunities depending on your output and interest."
"How do I submit my content?","Log in to your account and use the submission form to upload files, fill metadata, and attach any rights documentation."
"Are there any specific guidelines need to be followed?","Yes, our submission guidelines cover format, resolution, originality, and legal rights. These are available on the submission page."
"Is there a minimum or maximum word count you require for written content?","Written content should generally be between 500 to 2000 words, though specific requirements vary by category."
"Are there any topics or themes that are off-limits?","Yes. We do not accept content that is violent, discriminatory, plagiarized, or against our platform’s community standards."
"Do you accept multimedia content like podcasts, short films, or animated reels?","Yes, we welcome multimedia submissions including podcasts, short films, animations, and visual explainers."
"What platforms or channels do you typically publish content on?","We distribute content via OTT platforms, brand websites, educational tools, social media, and licensed syndication networks."
"Do you require SEO optimization in submitted content?","SEO is encouraged but not mandatory. Our editors may optimize the content further for search visibility."
"Can I suggest headlines or titles, or will your team assign those?","You may suggest titles, and our editorial team will review or modify them based on SEO and engagement standards."
"Do you encourage visual elements like images, charts, or GIFs with written content?","Yes, visual elements greatly improve engagement. Please provide images or suggest placements where applicable."
"What file formats do you prefer for written or visual submissions?","We prefer .docx or .pdf for documents, .mp4 for videos, .jpg/.png for images, and .mp3 for audio."
"Can I submit work under a pen name or pseudonym?","Yes, you can publish under a pen name. Legal identity is needed for payment and rights verification only."
"Do you allow me to update or revise content after publication if needed?","Yes, updates are allowed depending on the agreement. For licensed content, changes need buyer approval."
"What is your process for dealing with plagiarism or copyright claims?","We investigate all claims, suspend suspected content, and follow up with both parties. Repeat violations may lead to account termination."
"Do you offer translation services or multilingual content opportunities?","Yes, we support multilingual content and offer translation services for broader distribution and reach."
